date,assetId,financialReturnsScore,growthScore,gsid,integratedScore,multipleScore,updateTime,assetName
2014-01-15,MA4B66MW5E27UAKV9RU,0.894,0.828,193067,0.598,0.924,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-01-16,MA4B66MW5E27UAKV9RU,0.894,0.828,193067,0.6,0.922,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-01-17,MA4B66MW5E27UAKV9RU,0.892,0.828,193067,0.6,0.92,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-01-20,MA4B66MW5E27UAKV9RU,0.894,0.828,193067,0.6,0.92,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-01-21,MA4B66MW5E27UAKV9RU,0.892,0.826,193067,0.6,0.92,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-01-22,MA4B66MW5E27UAKV9RU,0.894,0.83,193067,0.602,0.92,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-01-23,MA4B66MW5E27UAKV9RU,0.894,0.83,193067,0.602,0.922,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-01-24,MA4B66MW5E27UAKV9RU,0.894,0.83,193067,0.602,0.922,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-01-27,MA4B66MW5E27UAKV9RU,0.896,0.83,193067,0.602,0.922,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-01-28,MA4B66MW5E27UAKV9RU,0.896,0.832,193067,0.602,0.922,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-01-29,MA4B66MW5E27UAKV9RU,0.894,0.836,193067,0.604,0.92,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-01-30,MA4B66MW5E27UAKV9RU,0.894,0.836,193067,0.604,0.916,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-01-31,MA4B66MW5E27UAKV9RU,0.896,0.836,193067,0.604,0.918,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-02-03,MA4B66MW5E27UAKV9RU,0.896,0.836,193067,0.606,0.916,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-02-04,MA4B66MW5E27UAKV9RU,0.896,0.836,193067,0.606,0.916,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-02-05,MA4B66MW5E27UAKV9RU,0.896,0.836,193067,0.602,0.924,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-02-06,MA4B66MW5E27UAKV9RU,0.896,0.836,193067,0.602,0.924,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-02-07,MA4B66MW5E27UAKV9RU,0.896,0.834,193067,0.602,0.924,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-02-10,MA4B66MW5E27UAKV9RU,0.896,0.834,193067,0.602,0.922,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-02-11,MA4B66MW5E27UAKV9RU,0.896,0.83,193067,0.6,0.924,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-02-12,MA4B66MW5E27UAKV9RU,0.896,0.832,193067,0.602,0.922,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-02-13,MA4B66MW5E27UAKV9RU,0.896,0.83,193067,0.6,0.922,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-02-14,MA4B66MW5E27UAKV9RU,0.896,0.828,193067,0.602,0.92,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-02-17,MA4B66MW5E27UAKV9RU,0.898,0.826,193067,0.602,0.92,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-02-18,MA4B66MW5E27UAKV9RU,0.898,0.826,193067,0.602,0.92,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-02-19,MA4B66MW5E27UAKV9RU,0.898,0.824,193067,0.602,0.916,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-02-20,MA4B66MW5E27UAKV9RU,0.898,0.822,193067,0.6,0.924,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-02-21,MA4B66MW5E27UAKV9RU,0.888,0.864,193067,0.608,0.928,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-02-24,MA4B66MW5E27UAKV9RU,0.886,0.862,193067,0.606,0.928,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
2014-02-25,MA4B66MW5E27UAKV9RU,0.888,0.862,193067,0.606,0.93,2017-05-11T19:47:36Z,Lumber Liquidators Holdings
